product_id,product_name,product_brand,product_price,review_count,reviewer_id,reviewer_skintype,reviewer_age_range,review_title,review_content
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,2,Sun M.,Combination,55+, The secret to smooth skin! , This product 100% helps my skin feel smoother and brighter. I cannot recommend this product enough. 
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,2,Alex,Combination,55+, Love the way it feels! ," I use this product as a toner in the mornings and I love the way my skin feels afterward. Over time, my skin did feel smoother to the touch, so I couldn't recommend this product enough! "
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,Chevonne S.,Combination,35-44, Still new to using this product ," I applied it to my face for the first time last night. It was VERY RICH and heavy imo. I am not sure if it is a good or bad thing yet as I would need more time to discern this, but for now, I think it feels too heavy to use during the day time if you're going out. If you're just going to stay home the whole day (or in my case work remotely), then I think it's fine to use it during the day too. But if you plan on heading out shortly after your facial routine, I personally wouldn't use this before an outing as it feels too rich. I will be back to update this after a few weeks/months to see if I see/feel any difference from using this cream. "
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,Gale C.,Combination,35-44, So smooth and smells great. , So smooth and smells great. Nice thick cream and my skin feels so moisturized. 
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,Sun M.,Combination,35-44, The ultimate anti-aging and moisturizing solution ," I've been using IOPE's Super Vital Cream Rich for a few weeks now and I have to say, it's a game-changer for my skincare routine. Not only does it deeply moisturize my skin, but also leaves it feeling smooth and soft. It absorbs quickly without any sticky residue, and I've noticed a big improvement in the overall appearance of my skin. "
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,Sabrina,Combination,35-44, So Moisturizing!!! , 
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,LW,Dry,18-24, My skin is glowing! ," This cream is beyond good. It makes my skin look like a baby's bottom lol. I usually have dull, dry skin that I can't seem to kick but one swipe of this on my face and my complexion is completely renewed. I'm obsessed!!!!! "
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,Sun M.,Dry,18-24, Amazing results ," I've been using IOPE's Stem III Cream for a few weeks now and I have to say, I'm really impressed with the results. The formula helps to calm and deeply moisturize my skin. I also appreciate that the packaging is sustainable, with a recycled plastic cartridge that can be refilled as you use the product. Highly recommend! "
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,Rita V.,Dry,18-24, I love it! , This amazing cream makes my skin so soft and hydrated! I did under estimate this cream and now it’s my next go to ! I love it! 
6.86E+12,Stem Ⅲ Cream,IOPE,$70 ,4,Vivian O.,Dry,18-24, Disturbingly good ," I love this product. It’s totally unscented if that’s a concern, and it’s relatively unassuming as far as packaging goes, plus it has a refillable option making it very eco friendly.  "
